tag,status,pipeline,arch,kind,crop_source,margin,aug,lr,overlay,ablation,seed,variant,frozen_val_auc,val_auc,epoch,epochs,train_auc
vgg16_fusion_view_unet_promoted_cuda0917_s2,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8802,0.9077,24,49,0.9719
vgg16_fusion_view_unet_promoted_s1,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8984,0.9336,49,74,0.9949
vgg16_fusion_view_unet_promoted_s2,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.9055,0.9249,30,55,0.9593
vgg16_fusion_view_unet_s1_cuda,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8623,0.892,6,31,0.8565
vgg16_fusion_view_unet_s2_cuda,current,fusion,vgg16,transfer,unet,0.20,default,1e-05 (fine-tune),,,28,fusion mode = view,0.8667,0.8792,3,28,0.8281
vgg16_full,current,full,vgg16,transfer,none,,default,1e-05 (fine-tune),,,28,,0.6597,0.7275,11,21,0.8378
vgg16_full_cuda0917,current,full,vgg16,transfer,none,,default,1e-05 (fine-tune),,,28,cuda0917,0.5917,0.6911,22,47,0.8009
vgg16_full_cuda0917_s1,current,full,vgg16,transfer,none,,default,1e-05 (fine-tune),,,1,cuda0917,0.5797,0.6961,20,45,0.8127
vgg16_full_cuda0917_s2,current,full,vgg16,transfer,none,,default,1e-05 (fine-tune),,,2,cuda0917,0.6382,0.7102,19,44,0.7501
vgg16_crop_m100,current (no weights),crop,vgg16,transfer,oracle,1.00,default,1e-05 (fine-tune),,,28,full history only (best over both stages),,0.8278,34,44,0.8255
baseline_crop,superseded,crop,baseline,scratch,oracle,legacy,default,0.001,,,28,,,0.6891,59,69,0.6327
baseline_crop_mm_pct_sgd,superseded,crop,baseline,scratch,oracle,legacy,default,0.001,,,28,mm_pct_sgd,,0.6764,13,23,0.598
densenet121_crop,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,,0.8165,0.8208,5,15,0.8352
densenet121_crop_hires320,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,hires320,0.7814,0.7738,1,11,0.7834
densenet121_crop_maskm,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,maskm,0.8181,0.8266,28,38,0.8862
densenet121_crop_maskm_clinical,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,maskm_clinical,0.8142,0.8244,20,30,0.8726
densenet121_crop_mm_pct_d5_mo_sgd_oa6,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,mm_pct_d5_mo_sgd_oa6,0.8204,0.8417,93,100,0.8132
densenet121_crop_pct,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,pct,0.8314,0.8363,6,16,0.7944
densenet121_crop_pct_maskm,superseded,crop,densenet121,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,pct_maskm,0.8417,0.8535,40,50,0.93
efficientnet_crop,superseded,crop,efficientnet,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,,0.5996,0.5945,1,11,0.5095
regularised_crop,superseded,crop,regularised,scratch,oracle,legacy,default,0.0005,,,28,,,0.7013,22,37,0.6778
regularised_crop_mm_pct_mo_sgd,superseded,crop,regularised,scratch,oracle,legacy,default,0.0005,,,28,mm_pct_mo_sgd,,0.6605,7,22,0.53
regularised_crop_mm_pct_sgd_lr5e3,superseded,crop,regularised,scratch,oracle,legacy,default,5e3,,,28,mm_pct_sgd,,0.6917,49,64,0.6787
resnet50_crop,superseded,crop,resnet50,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,,0.6072,0.6759,16,26,0.678
resnet50_crop_mm_pct_d5_mo_sgd_oa6,superseded,crop,resnet50,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,mm_pct_d5_mo_sgd_oa6,0.6992,0.7345,53,63,0.7112
scaled_crop,superseded,crop,scaled,scratch,oracle,legacy,default,0.001,,,28,,,0.6393,30,40,0.6202
scaled_crop_mm_pct_sgd,superseded,crop,scaled,scratch,oracle,legacy,default,0.001,,,28,mm_pct_sgd,,0.6735,17,27,0.6533
vgg16_crop,superseded,crop,vgg16,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,,0.7742,0.837,13,23,0.9543
vgg16_crop_final,superseded,crop,vgg16,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,final,0.7711,0.84,17,27,0.9723
vgg16_crop_m100,superseded,crop,vgg16,transfer,oracle,1.00,default,1e-05 (fine-tune),,,28,,0.7804,0.8278,6,16,0.8255
vgg16_crop_mm_pct_d5,superseded,crop,vgg16,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,mm_pct_d5,0.793,0.8668,25,35,0.9985
vgg16_crop_mm_pct_d5_mo_sgd_oa6,superseded,crop,vgg16,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,mm_pct_d5_mo_sgd_oa6,0.8129,0.8569,59,69,0.8479
vgg16_crop_pct_nosq,superseded,crop,vgg16,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,pct_nosq,0.7983,0.8614,23,33,0.9972
vgg16_crop_tight_pct,superseded,crop,vgg16,transfer,oracle,legacy,default,1e-05 (fine-tune),,,28,tight_pct,0.7941,0.8487,12,22,0.8978
baseline,superseded,full,baseline,scratch,none,,default,0.001,,,28,,,0.7356,27,37,0.7421
densenet121,superseded,full,densenet121,transfer,none,,default,1e-05 (fine-tune),,,28,,0.6793,0.6855,12,22,0.6855
regularised,superseded,full,regularised,scratch,none,,default,0.0005,,,28,,,0.7227,12,27,0.9354
scaled,superseded,full,scaled,scratch,none,,default,0.001,,,28,,,0.7383,32,100,0.8715
